agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key,program_purpose,program_category,recipient_name,recipient_type,recipients,statutory_references,has_transfer_authority,has_interchange_authority,transfer_targets,requires_approval,approval_authority,set_aside_amount,set_aside_purpose,percentage_allocations,time_limits,has_notwithstanding
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,21860,2013,3400000,85000,"39 By chapter 54, section 1, of the laws of 2013:
40 For various minor rehabilitation projects to keep facilities in a safe
41 operating condition, including but not limited to fire alarm system
42 and security system upgrades at the School for the Blind at Batavia,
43 subject to a plan developed by the education department and approved
44 by the director of the budget (11021303) (21860) ...................
45 3,400,000 ............................................ (re. $85,000)",141,39.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|21860|2013|3400000,,education,,,[],[],False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,21865,2004,1000000,37000,"3 By chapter 53, section 1, of the laws of 2004, as amended by chapter 62,
4 section 3, of the laws of 2005:
5 For minor rehabilitation projects to keep facilities in a safe operat-
6 ing condition subject to a plan developed by the education depart-
7 ment and approved by the director of the budget (11020403) (21865)
8 ... 1,000,000 ........................................ (re. $37,000)",143,3.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|21865|2004|1000000,,education,,,[],[],False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23456,2016,5000000,4475000,"10 amended by chapter 55, section 1, of the laws of 2016, is hereby
11 amended and reappropriated to read:
12 For renovation projects to preserve and revamp the collections and
13 exhibits of the state museum, library and archives subject to a plan
14 approved by the director of the budget_.__F_u_n_d_s__a_p_p_r_o_p_r_i_a_t_e_d__h_e_r_e_i_n
15 _m_a_y__b_e__s_u_b_a_l_l_o_c_a_t_e_d__t_o__a_n_y__o_t_h_e_r__s_t_a_t_e__d_e_p_a_r_t_m_e_n_t_,__a_g_e_n_c_y_,__o_r__p_u_b_l_i_c
16 _b_e_n_e_f_i_t__c_o_r_p_o_r_a_t_i_o_n_,__t_o__a_c_h_i_e_v_e__t_h_e__p_u_r_p_o_s_e___o_f___t_h_i_s___a_p_p_r_o_p_r_i_a_t_i_o_n
17 (11030203) (23456) ... 5,000,000 .................. (re. $4,475,000)",143,10.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23456|2016|5000000,,arts_culture,,,[],[],False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,23486,2024,0,44000000,"20 The appropriation made by chapter 54, section 1, of the laws of 2024, as
21 supplemented by a transfer in accordance with state finance law, is
22 hereby amended and reappropriated to read:
23 For total approved project costs pursuant to section 273-a of the
24 education law, for approved projects, excluding feasibility studies,
25 plans or similar activities, for the acquisition of vacant land and
26 the acquisition, construction, renovation or rehabilitation, includ-
27 ing leasehold improvements, of buildings of public libraries and
28 library systems chartered by the regents of the state of New York or
29 established by an act of the legislature, subject to distribution
30 provisions in subdivision 5 of section 273-a of the education law on
31 and upon approval by the commissioner (11LC2408) (23486) ...
32 [34,000,000] _4_4_,_0_0_0_,_0_0_0 .......................... (re. $44,000,000)",144,20.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23486|2024|0,,infrastructure,,,[],"[{""type"": ""state"", ""law_name"": ""education law"", ""section"": ""273-a"", ""full_citation"": ""section 273-a of the education law""}]",False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,DOCS Rehabilitation Projects Account - 32352,55990,2024,0,70000000,"29 The appropriation made by chapter 54, section 1, of the laws of 2024, as
30 supplemented by a transfer in accordance with state finance law, is
31 hereby amended and reappropriated to read:
32 For services and expenses for nonpublic schools of health and safety
33 equipment, security personnel, related assessments and training
34 needs, remediation of hazardous conditions, and the repair and main-
35 tenance of buildings, facilities, appurtenances, equipment and
36 systems to maintain the health and safety of school building occu-
37 pants, utilizing competitive and noncompetitive grants pursuant to a
38 plan developed by the commissioner of education and approved by the
39 director of the budget (11SE2401) (55990) ..........................
40 [45,000,000] _7_0_,_0_0_0_,_0_0_0 .......................... (re. $70,000,000)",146,29.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|55990|2024|0,For services and expenses for nonpublic schools of health and safety,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,Office of the Professions Electronic Licensing Account - 32222,55992,2021,7850000,1000,"150 12554-09-5
EDUCATION DEPARTMENT
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 the office of information technology services and approved by the
2 director of the budget.
3 Funds appropriated herein may be suballocated to any other state
4 department, agency, or public benefit corporation, to achieve the
5 purpose of this appropriation (11EL2108) (55992) ...................
6 7,850,000 ............................................. (re. $1,000)",150,1.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|55992|2021|7850000,,education,,,[],[],False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,Office of the Professions Electronic Licensing Account - 32222,23368,2023,20099000,20092000,"153 12554-09-5
EDUCATION DEPARTMENT
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 plan developed by the education department and approved by the
2 director of the budget (11NA2308) (23368) ..........................
3 20,099,000 ....................................... (re. $20,092,000)",153,1.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23368|2023|20099000,,education,,,[],[],False,False,[],False,,,,[],[],False
EDUCATION DEPARTMENT,CAPITAL PROJECTS,Capital Projects Fund,Office of the Professions Electronic Licensing Account - 32222,23468,2009,1000,1000,"37 By chapter 53, section 1, of the laws of 2009:
38 For various rehabilitation and renovation projects to keep facilities
39 at the School for the Blind in a safe operating condition subject to
40 a plan developed by the education department and approved by the
41 director of the budget (11030901) (23468) ... 800,000 . (re. $1,000)",153,37.0,2025-26,CAP 25-26.pdf,EDUCATION DEPARTMENT|23468|2009|1000,,education,,,[],[],False,False,[],False,,,,[],[],False
ENERGY RESEARCH AND DEVELOPMENT AUTHORITY,CAPITAL PROJECTS,Capital Projects Fund,Smart Schools Bond Fund Account - 30710,44406,2024,25800000,24822000,"28 By chapter 54, section 1, of the laws of 2024:
29 For services and expenses required to meet the New York state energy
30 research and development authority obligations for the western New
31 York nuclear service center, including obligations pursuant to the
32 West Valley demonstration project act (Pub. L. 96-368)(03WV24G6)
33 (44406) ... 25,800,000 ........................... (re. $24,822,000)",161,28.0,2025-26,CAP 25-26.pdf,ENERGY RESEARCH AND DEVELOPMENT AUTHORITY|44406|2024|25800000,For services and expenses required to meet the New York state energy,,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,capital projects fund,SRF Capitalization Grants Account - 31359,25729,2023,20000000,9710000,"20 By chapter 54, section 1, of the laws of 2023:
21 For employee fringe benefits and indirect costs related to employees
22 paid from department capital projects funds and capital accounts
23 (09FG2350) (25729) ... 20,000,000 ................. (re. $9,710,000)",189,20.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25729|2023|20000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,capital projects fund,SRF Capitalization Grants Account - 31359,25729,2022,20000000,4201000,"24 By chapter 54, section 1, of the laws of 2022:
25 For employee fringe benefits and indirect costs related to employees
26 paid from department capital projects funds and capital accounts
27 (09FG2250) (25729) ... 20,000,000 ................. (re. $4,201,000)",189,24.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25729|2022|20000000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,SRF Capitalization Grants Account - 31359,24807,2022,18000000,5908000,"28 For services and expenses related to the acquisition and development
29 of technology, including but not limited to equipment, software, and
30 services. Funds appropriated herein may be suballocated to any other
31 state department to achieve the purpose of this appropriation
32 (09CS2250) (24807) ... 18,000,000 ................. (re. $5,908,000)",189,28.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24807|2022|18000000,For services and expenses related to the acquisition and development,economic_development,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,capital projects fund,SRF Capitalization Grants Account - 31359,25729,2021,24700000,9407000,"33 By chapter 54, section 1, of the laws of 2021:
34 For employee fringe benefits and indirect costs related to employees
35 paid from department capital projects funds and capital accounts
36 (09FG2150) (25729) ... 24,700,000 ................. (re. $9,407,000)",189,33.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25729|2021|24700000,,infrastructure,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,SRF Capitalization Grants Account - 31359,62014,2024,0,63514000,"1 The appropriation made by chapter 54, section 1, of the laws of 2024, is
2 hereby amended and reappropriated to read:
3 For the expenditure of federal funds including but not limited to
4 those funds provided for in the Infrastructure Investment and Jobs
5 Act made available to the department of environmental conservation,
6 from any federal agency under any federal programs, for environ-
7 mental purposes including but not limited to construction, recon-
8 struction, preservation, and operating costs. Any portion of this
9 appropriation may be transferred to state operations and aid to
10 localities. Notwithstanding any other inconsistent provisions of
11 law, funding appropriated herein is authorized for suballocation or
12 transfer to other state departments, agencies, and authorities, and
13 may be transferred or interchanged within the department of environ-
14 mental conservation, as necessary to accomplish the intended purpose
15 of the federal funds (09IJ2450) (62014) ............................
16 [70,000,000] _6_3_,_5_1_4_,_0_0_0 .......................... (re. $63,514,000)",191,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|62014|2024|0,,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,SRF Capitalization Grants Account - 31359,62014,2023,0,61800000,"17 The appropriation made by chapter 54, section 1, of the laws of 2023, is
18 hereby amended and reappropriated to read:
19 For the expenditure of federal funds including but not limited to
20 those funds provided for in the Infrastructure Investment and Jobs
21 Act made available to the department of environmental conservation,
22 from any federal agency under any federal programs, for environ-
23 mental purposes including but not limited to construction, recon-
24 struction, preservation, and operating costs. Any portion of this
25 appropriation may be transferred to state operations and aid to
26 localities. Notwithstanding any other inconsistent provisions of
27 law, funding appropriated herein is authorized for suballocation or
28 transfer to other state departments, agencies, and authorities, and
29 may be transferred or interchanged within the department of environ-
30 mental conservation, as necessary to accomplish the intended purpose
31 of the federal funds (09IJ2350) (62014) ............................
32 [70,000,000] _6_7_,_0_5_8_,_0_0_0 .......................... (re. $61,800,000)",191,17.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|62014|2023|0,,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,SRF Capitalization Grants Account - 31359,62014,2022,0,4187000,"33 The appropriation made by chapter 54, section 1, of the laws of 2022, is
34 hereby amended and reappropriated to read:
35 For the expenditure of federal funds including but not limited to
36 those funds provided for in the Infrastructure Investment and Jobs
37 Act made available to the department of environmental conservation,
38 from any federal agency under any federal programs, for environ-
39 mental purposes including but not limited to construction, recon-
40 struction, preservation, and operating costs. Any portion of this
41 appropriation may be transferred to state operations and aid to
42 localities. Notwithstanding any other inconsistent provisions of
43 law, funding appropriated herein is authorized for suballocation or
44 transfer to other state departments, agencies, and authorities, and
45 may be transferred or interchanged within the department of environ-
46 mental conservation, as necessary to accomplish the intended purpose
47 of the federal funds (09IJ2250) (62014) ............................
48 [50,000,000] _4_9_,_0_4_5_,_0_0_0 ........................... (re. $4,187,000)",191,33.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|62014|2022|0,,environment,,,[],[],False,False,[],False,,,,[],[],False
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,ENCON Capital Miscellaneous Gifts Account - 32224,24808,1999,3000000,97000,"23 By chapter 55, section 1, of the laws of 1999:
24 For services and expenses relating to the implementation and adminis-
25 tration of the clean air mobile source program (09MO9955) (24808)
26 ... 3,000,000 ........................................ (re. $97,000)",192,23.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24808|1999|3000000,For services and expenses relating to the implementation and adminis-,,,,[],[],False,False,[],False,,,,[],[],False
